,"State, Territory, or District",Death_Penalty?,Gubernatoral_Moratoria,YearAbolished/GM
0,California,1,1,2019
1,Texas,1,0,-1
2,Florida,1,0,-1
3,New York,0,0,2007
4,Illinois,0,0,2011
5,Pennsylvania,1,1,2015
6,Ohio,1,0,-1
7,Georgia,1,0,-1
8,Michigan,0,0,1847
9,North Carolina,1,0,-1
10,New Jersey,0,0,2007
11,Virginia,1,0,-1
12,Washington,0,0,2018
13,Massachusetts,0,0,1984
14,Arizona,1,0,-1
15,Indiana,1,0,-1
16,Tennessee,1,0,-1
17,Missouri,1,0,-1
18,Maryland,0,0,2013
19,Wisconsin,0,0,1853
20,Minnesota,0,0,1911
21,Colorado,1,1,2013
22,South Carolina,1,0,-1
23,Alabama,1,0,-1
24,Louisiana,1,0,-1
25,Kentucky,1,0,-1
26,Oregon,1,1,2011
27,Oklahoma,1,0,-1
28,Connecticut,0,0,2012
29,Puerto Rico,,0,-1
30,Iowa,0,0,1965
31,Mississippi,1,0,-1
32,Arkansas,1,0,-1
33,Utah,1,0,-1
34,Kansas,1,0,-1
35,Nevada,1,0,-1
36,New Mexico,0,0,2009
37,Nebraska,1,0,-1
38,West Virginia,0,0,1965
39,Idaho,1,0,-1
40,Hawaii,0,0,1957
41,Maine,0,0,1887
42,New Hampshire,0,0,2019
43,Rhode Island,0,0,1984
44,Montana,1,0,-1
45,Delaware,0,0,2016
46,South Dakota,1,0,-1
47,Alaska,0,0,1957
48,North Dakota,0,0,1973
49,District of Columbia,0,0,1992
50,Vermont,0,0,1972
51,Wyoming,1,0,-1
52,Guam,,0,
53,US Virgin Islands,,0,
54,Northern Mariana Islands,,0,
55,American Samoa,,0,
