"State, federal district or territory",High school graduate or higher,High school rank,Bachelor's degree or higher,Bachelor's rank,Advanced degree ,Advanced degree rank
Montana,93.00%,1,30.70%,21,10.10%,33
New Hampshire,92.80%,2,36.00%,9,13.80%,10
Minnesota,92.80%,3,34.80%,11,11.80%,18
Wyoming,92.80%,4,26.70%,41,9.30%,39
Alaska,92.40%,5,29.00%,28,10.40%,29
North Dakota,92.30%,6,28.90%,29,7.80%,51
Vermont,92.30%,7,36.80%,8,15.00%,7
Maine,92.10%,8,30.30%,23,10.90%,24
Iowa,91.80%,9,27.70%,36,9.00%,42
Utah,91.80%,10,32.50%,16,11.00%,23
Wisconsin,91.70%,11,29.00%,27,9.90%,35
Hawaii,91.60%,12,32.00%,19,10.80%,25
South Dakota,91.40%,13,27.80%,35,8.30%,45
Colorado,91.10%,14,39.40%,3,14.60%,9
Nebraska,90.90%,15,30.60%,22,10.20%,31
Washington,90.80%,16,34.50%,12,12.70%,14
Kansas,90.50%,17,32.30%,17,11.70%,20
District of Columbia,90.30%,18,56.60%,1,32.80%,1
Massachusetts,90.30%,19,42.10%,2,18.70%,2
Idaho,90.20%,20,26.80%,40,8.50%,43
Michigan,90.20%,21,28.10%,34,11.00%,22
Connecticut,90.20%,22,38.40%,5,17.00%,4
Oregon,76.70%,23,32.30%,18,12.20%,16
Pennsylvania,89.90%,24,30.10%,24,11.80%,19
Maryland,89.80%,25,39.00%,4,18.00%,3
Ohio,89.80%,26,27.20%,37,10.20%,32
Delaware,89.30%,27,31.00%,20,12.90%,13
Missouri,89.20%,28,28.20%,33,10.70%,26
New Jersey,89.20%,29,38.10%,6,14.70%,8
Virginia,89.00%,30,37.60%,7,16.10%,5
Illinois,88.60%,31,33.40%,13,13.00%,12
Indiana,88.30%,32,25.30%,43,9.20%,40
Florida,87.60%,33,28.50%,31,10.30%,30
Oklahoma,87.50%,34,24.80%,44,8.30%,44
Rhode Island,87.30%,35,33.00%,14,13.10%,11
United States,87.30%,35.5,30.90%,20.5,11.80%,18.5
North Carolina,86.90%,36,29.90%,26,10.60%,28
South Carolina,86.50%,37,27.00%,38,9.80%,36
Tennessee,86.50%,38,26.10%,42,9.60%,37
Georgia,86.30%,39,29.90%,25,11.40%,21
New York,86.10%,40,35.30%,10,15.40%,6
West Virginia,85.90%,41,19.90%,51,7.90%,49
Nevada,85.80%,42,23.70%,46,8.10%,47
Arkansas,85.60%,43,22.00%,49,7.90%,50
Alabama,85.30%,44,24.50%,45,9.10%,41
Kentucky,85.20%,45,23.20%,48,9.60%,38
New Mexico,85.00%,46,26.90%,39,11.80%,17
Louisiana,84.30%,47,23.40%,47,8.10%,46
Mississippi,83.40%,48,21.30%,50,8.00%,48
Texas,82.80%,49,28.70%,30,9.90%,34
California,82.50%,50,32.60%,15,12.20%,15
Arizona,82.10%,51,28.40%,32,10.70%,26
